"STATISTIC","Quarter","Age at Death","UNIT","VALUE"
"Deaths Registered Provisional","2011Q3","Under 7 Days","Number","28"
"Deaths Registered Provisional","2011Q3","1 to 7 Days","Number","11"
"Deaths Registered Provisional","2011Q3","Under 1 Day","Number","17"
"Deaths Registered Provisional","2011Q3","1 to 4 Years","Number","8"
"Deaths Registered Provisional","2011Q3","5 to 14 Years","Number","12"
"Deaths Registered Provisional","2011Q3","15 to 24 Years","Number","87"
"Deaths Registered Provisional","2011Q3","25 to 34 Years","Number","110"
"Deaths Registered Provisional","2011Q3","35 to 44 Years","Number","171"
"Deaths Registered Provisional","2011Q3","45 to 54 Years","Number","399"
"Deaths Registered Provisional","2011Q3","55 to 64 Years","Number","756"
"Deaths Registered Provisional","2011Q3","65 to 74 Years","Number","1228"
"Deaths Registered Provisional","2011Q3","75 Years and Over","Number","4075"
"Deaths Registered Provisional","2011Q4","Under 1 Year","Number","60"
"Deaths Registered Provisional","2011Q4","4 Weeks to 1 Year","Number","12"
"Deaths Registered Provisional","2011Q4","1 Week to 4 Weeks","Number","11"
"Deaths Registered Provisional","2011Q4","Under 7 Days","Number","37"
"Deaths Registered Provisional","2011Q4","1 to 7 Days","Number","14"
"Deaths Registered Provisional","2011Q4","Under 1 Day","Number","23"
"Deaths Registered Provisional","2011Q4","1 to 4 Years","Number","9"
"Deaths Registered Provisional","2011Q4","5 to 14 Years","Number","10"
"Deaths Registered Provisional","2011Q4","15 to 24 Years","Number","68"
"Deaths Registered Provisional","2011Q4","25 to 34 Years","Number","105"
"Deaths Registered Provisional","2011Q4","35 to 44 Years","Number","221"
"Deaths Registered Provisional","2011Q4","45 to 54 Years","Number","317"
"Deaths Registered Provisional","2011Q4","55 to 64 Years","Number","669"
"Deaths Registered Provisional","2011Q4","65 to 74 Years","Number","1139"
"Deaths Registered Provisional","2011Q4","75 Years and Over","Number","4116"
"Deaths Registered Provisional","2012Q1","Under 1 Year","Number","61"
"Deaths Registered Provisional","2012Q1","4 Weeks to 1 Year","Number","16"
"Deaths Registered Provisional","2012Q1","1 Week to 4 Weeks","Number","9"
"Deaths Registered Provisional","2012Q1","Under 7 Days","Number","36"
"Deaths Registered Provisional","2012Q1","1 to 7 Days","Number","16"
"Deaths Registered Provisional","2012Q1","Under 1 Day","Number","20"
"Deaths Registered Provisional","2012Q1","1 to 4 Years","Number","12"
"Deaths Registered Provisional","2012Q1","5 to 14 Years","Number","15"
"Deaths Registered Provisional","2012Q1","15 to 24 Years","Number","60"
"Deaths Registered Provisional","2012Q1","25 to 34 Years","Number","125"
"Deaths Registered Provisional","2012Q1","35 to 44 Years","Number","176"
"Deaths Registered Provisional","2012Q1","45 to 54 Years","Number","362"
"Deaths Registered Provisional","2012Q1","55 to 64 Years","Number","723"
"Deaths Registered Provisional","2012Q1","65 to 74 Years","Number","1281"
"Deaths Registered Provisional","2012Q1","75 Years and Over","Number","5164"
"Deaths Registered Provisional","2012Q2","Under 1 Year","Number","47"
"Deaths Registered Provisional","2012Q2","4 Weeks to 1 Year","Number","6"
"Deaths Registered Provisional","2012Q2","1 Week to 4 Weeks","Number","7"
"Deaths Registered Provisional","2012Q2","Under 7 Days","Number","34"
"Deaths Registered Provisional","2012Q2","1 to 7 Days","Number","10"
"Deaths Registered Provisional","2012Q2","Under 1 Day","Number","24"
"Deaths Registered Provisional","2012Q2","1 to 4 Years","Number","16"
"Deaths Registered Provisional","2012Q2","5 to 14 Years","Number","16"
"Deaths Registered Provisional","2012Q2","15 to 24 Years","Number","53"
"Deaths Registered Provisional","2012Q2","25 to 34 Years","Number","95"
"Deaths Registered Provisional","2012Q2","35 to 44 Years","Number","195"
"Deaths Registered Provisional","2012Q2","45 to 54 Years","Number","322"
"Deaths Registered Provisional","2012Q2","55 to 64 Years","Number","707"
"Deaths Registered Provisional","2012Q2","65 to 74 Years","Number","1187"
"Deaths Registered Provisional","2012Q2","75 Years and Over","Number","4442"
"Deaths Registered Provisional","2012Q3","Under 1 Year","Number","79"
"Deaths Registered Provisional","2012Q3","4 Weeks to 1 Year","Number","18"
"Deaths Registered Provisional","2012Q3","1 Week to 4 Weeks","Number","9"
"Deaths Registered Provisional","2012Q3","Under 7 Days","Number","52"
"Deaths Registered Provisional","2012Q3","1 to 7 Days","Number","27"
"Deaths Registered Provisional","2012Q3","Under 1 Day","Number","25"
"Deaths Registered Provisional","2012Q3","1 to 4 Years","Number","9"
"Deaths Registered Provisional","2012Q3","5 to 14 Years","Number","13"
"Deaths Registered Provisional","2012Q3","15 to 24 Years","Number","82"
"Deaths Registered Provisional","2012Q3","25 to 34 Years","Number","104"
"Deaths Registered Provisional","2012Q3","35 to 44 Years","Number","185"
"Deaths Registered Provisional","2012Q3","45 to 54 Years","Number","390"
"Deaths Registered Provisional","2012Q3","55 to 64 Years","Number","706"
"Deaths Registered Provisional","2012Q3","65 to 74 Years","Number","1203"
"Deaths Registered Provisional","2012Q3","75 Years and Over","Number","4054"
"Deaths Registered Provisional","2012Q4","Under 1 Year","Number","63"
"Deaths Registered Provisional","2012Q4","4 Weeks to 1 Year","Number","16"
"Deaths Registered Provisional","2012Q4","1 Week to 4 Weeks","Number","9"
"Deaths Registered Provisional","2012Q4","Under 7 Days","Number","38"
"Deaths Registered Provisional","2012Q4","1 to 7 Days","Number","16"
"Deaths Registered Provisional","2012Q4","Under 1 Day","Number","22"
"Deaths Registered Provisional","2012Q4","1 to 4 Years","Number","8"
"Deaths Registered Provisional","2012Q4","5 to 14 Years","Number","16"
"Deaths Registered Provisional","2012Q4","15 to 24 Years","Number","56"
"Deaths Registered Provisional","2012Q4","25 to 34 Years","Number","125"
"Deaths Registered Provisional","2012Q4","35 to 44 Years","Number","208"
"Deaths Registered Provisional","2012Q4","45 to 54 Years","Number","360"
"Deaths Registered Provisional","2012Q4","55 to 64 Years","Number","691"
"Deaths Registered Provisional","2012Q4","65 to 74 Years","Number","1200"
"Deaths Registered Provisional","2012Q4","75 Years and Over","Number","4237"
"Deaths Registered Provisional","2013Q1","Under 1 Year","Number","55"
"Deaths Registered Provisional","2013Q1","4 Weeks to 1 Year","Number","19"
"Deaths Registered Provisional","2013Q1","1 Week to 4 Weeks","Number","9"
"Deaths Registered Provisional","2013Q1","Under 7 Days","Number","27"
"Deaths Registered Provisional","2013Q1","1 to 7 Days","Number","10"
"Deaths Registered Provisional","2013Q1","Under 1 Day","Number","17"
"Deaths Registered Provisional","2013Q1","1 to 4 Years","Number","12"
"Deaths Registered Provisional","2013Q1","5 to 14 Years","Number","9"
"Deaths Registered Provisional","2013Q1","15 to 24 Years","Number","46"
"Deaths Registered Provisional","2013Q1","25 to 34 Years","Number","97"
"Deaths Registered Provisional","2013Q1","35 to 44 Years","Number","168"
"Deaths Registered Provisional","2013Q1","45 to 54 Years","Number","393"
"Deaths Registered Provisional","2013Q1","55 to 64 Years","Number","785"
"Deaths Registered Provisional","2013Q1","65 to 74 Years","Number","1405"
"Deaths Registered Provisional","2013Q1","75 Years and Over","Number","5377"
"Deaths Registered Provisional","2013Q2","Under 1 Year","Number","58"
"Deaths Registered Provisional","2013Q2","4 Weeks to 1 Year","Number","20"
"Deaths Registered Provisional","2013Q2","1 Week to 4 Weeks","Number","5"
"Deaths Registered Provisional","2013Q2","Under 7 Days","Number","33"
"Deaths Registered Provisional","2013Q2","1 to 7 Days","Number","12"
"Deaths Registered Provisional","2013Q2","Under 1 Day","Number","21"
"Deaths Registered Provisional","2013Q2","1 to 4 Years","Number","8"
"Deaths Registered Provisional","2013Q2","5 to 14 Years","Number","11"
"Deaths Registered Provisional","2013Q2","15 to 24 Years","Number","53"
"Deaths Registered Provisional","2013Q2","25 to 34 Years","Number","84"
"Deaths Registered Provisional","2013Q2","35 to 44 Years","Number","153"
"Deaths Registered Provisional","2013Q2","45 to 54 Years","Number","343"
"Deaths Registered Provisional","2013Q2","55 to 64 Years","Number","728"
"Deaths Registered Provisional","2013Q2","65 to 74 Years","Number","1308"
"Deaths Registered Provisional","2013Q2","75 Years and Over","Number","4898"
"Deaths Registered Provisional","2013Q3","Under 1 Year","Number","59"
"Deaths Registered Provisional","2013Q3","4 Weeks to 1 Year","Number","13"
"Deaths Registered Provisional","2013Q3","1 Week to 4 Weeks","Number","10"
"Deaths Registered Provisional","2013Q3","Under 7 Days","Number","36"
"Deaths Registered Provisional","2013Q3","1 to 7 Days","Number","13"
"Deaths Registered Provisional","2013Q3","Under 1 Day","Number","23"
"Deaths Registered Provisional","2013Q3","1 to 4 Years","Number","11"
"Deaths Registered Provisional","2013Q3","5 to 14 Years","Number","13"
"Deaths Registered Provisional","2013Q3","15 to 24 Years","Number","53"
"Deaths Registered Provisional","2013Q3","25 to 34 Years","Number","97"
"Deaths Registered Provisional","2013Q3","35 to 44 Years","Number","143"
"Deaths Registered Provisional","2013Q3","45 to 54 Years","Number","376"
"Deaths Registered Provisional","2013Q3","55 to 64 Years","Number","709"
"Deaths Registered Provisional","2013Q3","65 to 74 Years","Number","1266"
"Deaths Registered Provisional","2013Q3","75 Years and Over","Number","4256"
"Deaths Registered Provisional","2013Q4","Under 1 Year","Number","56"
"Deaths Registered Provisional","2013Q4","4 Weeks to 1 Year","Number","12"
"Deaths Registered Provisional","2013Q4","1 Week to 4 Weeks","Number","7"
"Deaths Registered Provisional","2013Q4","Under 7 Days","Number","37"
"Deaths Registered Provisional","2013Q4","1 to 7 Days","Number","15"
"Deaths Registered Provisional","2013Q4","Under 1 Day","Number","22"
"Deaths Registered Provisional","2013Q4","1 to 4 Years","Number","16"
"Deaths Registered Provisional","2013Q4","5 to 14 Years","Number","25"
"Deaths Registered Provisional","2013Q4","15 to 24 Years","Number","63"
"Deaths Registered Provisional","2013Q4","25 to 34 Years","Number","133"
"Deaths Registered Provisional","2013Q4","35 to 44 Years","Number","170"
"Deaths Registered Provisional","2013Q4","45 to 54 Years","Number","386"
"Deaths Registered Provisional","2013Q4","55 to 64 Years","Number","725"
"Deaths Registered Provisional","2013Q4","65 to 74 Years","Number","1207"
"Deaths Registered Provisional","2013Q4","75 Years and Over","Number","4263"
"Deaths Registered Provisional","2014Q1","Under 1 Year","Number","65"
"Deaths Registered Provisional","2014Q1","4 Weeks to 1 Year","Number","9"
"Deaths Registered Provisional","2014Q1","1 Week to 4 Weeks","Number","11"
"Deaths Registered Provisional","2014Q1","Under 7 Days","Number","45"
"Deaths Registered Provisional","2014Q1","1 to 7 Days","Number","22"
"Deaths Registered Provisional","2014Q1","Under 1 Day","Number","23"
"Deaths Registered Provisional","2014Q1","1 to 4 Years","Number","4"
"Deaths Registered Provisional","2014Q1","5 to 14 Years","Number","11"
"Deaths Registered Provisional","2014Q1","15 to 24 Years","Number","47"
"Deaths Registered Provisional","2014Q1","25 to 34 Years","Number","93"
"Deaths Registered Provisional","2014Q1","35 to 44 Years","Number","148"
"Deaths Registered Provisional","2014Q1","45 to 54 Years","Number","343"
"Deaths Registered Provisional","2014Q1","55 to 64 Years","Number","759"
"Deaths Registered Provisional","2014Q1","65 to 74 Years","Number","1353"
"Deaths Registered Provisional","2014Q1","75 Years and Over","Number","5287"
"Deaths Registered Provisional","2014Q2","Under 1 Year","Number","55"
"Deaths Registered Provisional","2014Q2","4 Weeks to 1 Year","Number","14"
"Deaths Registered Provisional","2014Q2","1 Week to 4 Weeks","Number","9"
"Deaths Registered Provisional","2014Q2","Under 7 Days","Number","32"
"Deaths Registered Provisional","2014Q2","1 to 7 Days","Number","14"
"Deaths Registered Provisional","2014Q2","Under 1 Day","Number","18"
"Deaths Registered Provisional","2014Q2","1 to 4 Years","Number","17"
"Deaths Registered Provisional","2014Q2","5 to 14 Years","Number","15"
"Deaths Registered Provisional","2014Q2","15 to 24 Years","Number","38"
"Deaths Registered Provisional","2014Q2","25 to 34 Years","Number","100"
"Deaths Registered Provisional","2014Q2","35 to 44 Years","Number","159"
"Deaths Registered Provisional","2014Q2","45 to 54 Years","Number","354"
"Deaths Registered Provisional","2014Q2","55 to 64 Years","Number","717"
"Deaths Registered Provisional","2014Q2","65 to 74 Years","Number","1271"
"Deaths Registered Provisional","2014Q2","75 Years and Over","Number","4471"
"Deaths Registered Provisional","2014Q3","Under 1 Year","Number","74"
"Deaths Registered Provisional","2014Q3","4 Weeks to 1 Year","Number","28"
"Deaths Registered Provisional","2014Q3","1 Week to 4 Weeks","Number","9"
"Deaths Registered Provisional","2014Q3","Under 7 Days","Number","37"
"Deaths Registered Provisional","2014Q3","1 to 7 Days","Number","12"
"Deaths Registered Provisional","2014Q3","Under 1 Day","Number","25"
"Deaths Registered Provisional","2014Q3","1 to 4 Years","Number","7"
"Deaths Registered Provisional","2014Q3","5 to 14 Years","Number","16"
"Deaths Registered Provisional","2014Q3","15 to 24 Years","Number","53"
"Deaths Registered Provisional","2014Q3","25 to 34 Years","Number","120"
"Deaths Registered Provisional","2014Q3","35 to 44 Years","Number","168"
"Deaths Registered Provisional","2014Q3","45 to 54 Years","Number","354"
"Deaths Registered Provisional","2014Q3","55 to 64 Years","Number","683"
"Deaths Registered Provisional","2014Q3","65 to 74 Years","Number","1305"
"Deaths Registered Provisional","2014Q3","75 Years and Over","Number","4221"
"Deaths Registered Provisional","2014Q4","Under 1 Year","Number","55"
"Deaths Registered Provisional","2014Q4","4 Weeks to 1 Year","Number","14"
"Deaths Registered Provisional","2014Q4","1 Week to 4 Weeks","Number","8"
"Deaths Registered Provisional","2014Q4","Under 7 Days","Number","33"
"Deaths Registered Provisional","2014Q4","1 to 7 Days","Number","10"
"Deaths Registered Provisional","2014Q4","Under 1 Day","Number","23"
"Deaths Registered Provisional","2014Q4","1 to 4 Years","Number","10"
"Deaths Registered Provisional","2014Q4","5 to 14 Years","Number","14"
"Deaths Registered Provisional","2014Q4","15 to 24 Years","Number","64"
"Deaths Registered Provisional","2014Q4","25 to 34 Years","Number","106"
"Deaths Registered Provisional","2014Q4","35 to 44 Years","Number","188"
"Deaths Registered Provisional","2014Q4","45 to 54 Years","Number","332"
"Deaths Registered Provisional","2014Q4","55 to 64 Years","Number","657"
"Deaths Registered Provisional","2014Q4","65 to 74 Years","Number","1288"
"Deaths Registered Provisional","2014Q4","75 Years and Over","Number","4073"
"Deaths Registered Provisional","2015Q1","Under 1 Year","Number","55"
"Deaths Registered Provisional","2015Q1","4 Weeks to 1 Year","Number","24"
"Deaths Registered Provisional","2015Q1","1 Week to 4 Weeks","Number","11"
"Deaths Registered Provisional","2015Q1","Under 7 Days","Number","20"
"Deaths Registered Provisional","2015Q1","1 to 7 Days","Number","7"
"Deaths Registered Provisional","2015Q1","Under 1 Day","Number","13"
"Deaths Registered Provisional","2015Q1","1 to 4 Years","Number","12"
"Deaths Registered Provisional","2015Q1","5 to 14 Years","Number","8"
"Deaths Registered Provisional","2015Q1","15 to 24 Years","Number","45"
"Deaths Registered Provisional","2015Q1","25 to 34 Years","Number","80"
"Deaths Registered Provisional","2015Q1","35 to 44 Years","Number","139"
"Deaths Registered Provisional","2015Q1","45 to 54 Years","Number","327"
"Deaths Registered Provisional","2015Q1","55 to 64 Years","Number","763"
"Deaths Registered Provisional","2015Q1","65 to 74 Years","Number","1408"
"Deaths Registered Provisional","2015Q1","75 Years and Over","Number","5767"
"Deaths Registered Provisional","2015Q2","Under 1 Year","Number","34"
"Deaths Registered Provisional","2015Q2","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","2015Q2","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","2015Q2","Under 7 Days","Number",""
"Deaths Registered Provisional","2015Q2","1 to 7 Days","Number",""
"Deaths Registered Provisional","2015Q2","Under 1 Day","Number",""
"Deaths Registered Provisional","2015Q2","1 to 4 Years","Number","12"
"Deaths Registered Provisional","2015Q2","5 to 14 Years","Number","13"
"Deaths Registered Provisional","2015Q2","15 to 24 Years","Number","47"
"Deaths Registered Provisional","2015Q2","25 to 34 Years","Number","106"
"Deaths Registered Provisional","2015Q2","35 to 44 Years","Number","161"
"Deaths Registered Provisional","2015Q2","45 to 54 Years","Number","337"
"Deaths Registered Provisional","2015Q2","55 to 64 Years","Number","687"
"Deaths Registered Provisional","2015Q2","65 to 74 Years","Number","1335"
"Deaths Registered Provisional","2015Q2","75 Years and Over","Number","4833"
"Deaths Registered Provisional","2015Q3","Under 1 Year","Number","52"
"Deaths Registered Provisional","2015Q3","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","2015Q3","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","2015Q3","Under 7 Days","Number",""
"Deaths Registered Provisional","2015Q3","1 to 7 Days","Number",""
"Deaths Registered Provisional","2015Q3","Under 1 Day","Number",""
"Deaths Registered Provisional","2015Q3","1 to 4 Years","Number","8"
"Deaths Registered Provisional","2015Q3","5 to 14 Years","Number","16"
"Deaths Registered Provisional","2015Q3","15 to 24 Years","Number","52"
"Deaths Registered Provisional","2015Q3","25 to 34 Years","Number","107"
"Deaths Registered Provisional","2015Q3","35 to 44 Years","Number","174"
"Deaths Registered Provisional","2015Q3","45 to 54 Years","Number","335"
"Deaths Registered Provisional","2015Q3","55 to 64 Years","Number","624"
"Deaths Registered Provisional","2015Q3","65 to 74 Years","Number","1263"
"Deaths Registered Provisional","2015Q3","75 Years and Over","Number","4220"
"Deaths Registered Provisional","2015Q4","Under 1 Year","Number","64"
"Deaths Registered Provisional","2015Q4","4 Weeks to 1 Year","Number","16"
"Deaths Registered Provisional","2015Q4","1 Week to 4 Weeks","Number","7"
"Deaths Registered Provisional","2015Q4","Under 7 Days","Number","41"
"Deaths Registered Provisional","2015Q4","1 to 7 Days","Number","19"
"Deaths Registered Provisional","2015Q4","Under 1 Day","Number","22"
"Deaths Registered Provisional","2015Q4","1 to 4 Years","Number","6"
"Deaths Registered Provisional","2015Q4","5 to 14 Years","Number","15"
"Deaths Registered Provisional","2015Q4","15 to 24 Years","Number","54"
"Deaths Registered Provisional","2015Q4","25 to 34 Years","Number","94"
"Deaths Registered Provisional","2015Q4","35 to 44 Years","Number","163"
"Deaths Registered Provisional","2015Q4","45 to 54 Years","Number","342"
"Deaths Registered Provisional","2015Q4","55 to 64 Years","Number","690"
"Deaths Registered Provisional","2015Q4","65 to 74 Years","Number","1189"
"Deaths Registered Provisional","2015Q4","75 Years and Over","Number","4315"
"Deaths Registered Provisional","2016Q1","Under 1 Year","Number","63"
"Deaths Registered Provisional","2016Q1","4 Weeks to 1 Year","Number","18"
"Deaths Registered Provisional","2016Q1","1 Week to 4 Weeks","Number","7"
"Deaths Registered Provisional","2016Q1","Under 7 Days","Number","38"
"Deaths Registered Provisional","2016Q1","1 to 7 Days","Number","17"
"Deaths Registered Provisional","2016Q1","Under 1 Day","Number","21"
"Deaths Registered Provisional","2016Q1","1 to 4 Years","Number","6"
"Deaths Registered Provisional","2016Q1","5 to 14 Years","Number","4"
"Deaths Registered Provisional","2016Q1","15 to 24 Years","Number","45"
"Deaths Registered Provisional","2016Q1","25 to 34 Years","Number","78"
"Deaths Registered Provisional","2016Q1","35 to 44 Years","Number","127"
"Deaths Registered Provisional","2016Q1","45 to 54 Years","Number","347"
"Deaths Registered Provisional","2016Q1","55 to 64 Years","Number","798"
"Deaths Registered Provisional","2016Q1","65 to 74 Years","Number","1532"
"Deaths Registered Provisional","2016Q1","75 Years and Over","Number","5609"
"Deaths Registered Provisional","2016Q2","Under 1 Year","Number","48"
"Deaths Registered Provisional","2016Q2","4 Weeks to 1 Year","Number","12"
"Deaths Registered Provisional","2016Q2","1 Week to 4 Weeks","Number","10"
"Deaths Registered Provisional","2016Q2","Under 7 Days","Number","26"
"Deaths Registered Provisional","2016Q2","1 to 7 Days","Number","10"
"Deaths Registered Provisional","2016Q2","Under 1 Day","Number","16"
"Deaths Registered Provisional","2016Q2","1 to 4 Years","Number","9"
"Deaths Registered Provisional","2016Q2","5 to 14 Years","Number","12"
"Deaths Registered Provisional","2016Q2","15 to 24 Years","Number","41"
"Deaths Registered Provisional","2016Q2","25 to 34 Years","Number","76"
"Deaths Registered Provisional","2016Q2","35 to 44 Years","Number","157"
"Deaths Registered Provisional","2016Q2","45 to 54 Years","Number","334"
"Deaths Registered Provisional","2016Q2","55 to 64 Years","Number","724"
"Deaths Registered Provisional","2016Q2","65 to 74 Years","Number","1360"
"Deaths Registered Provisional","2016Q2","75 Years and Over","Number","4783"
"Deaths Registered Provisional","2016Q3","Under 1 Year","Number","49"
"Deaths Registered Provisional","2016Q3","4 Weeks to 1 Year","Number","11"
"Deaths Registered Provisional","2016Q3","1 Week to 4 Weeks","Number","9"
"Deaths Registered Provisional","2016Q3","Under 7 Days","Number","29"
"Deaths Registered Provisional","2016Q3","1 to 7 Days","Number","11"
"Deaths Registered Provisional","2016Q3","Under 1 Day","Number","18"
"Deaths Registered Provisional","2016Q3","1 to 4 Years","Number","8"
"Deaths Registered Provisional","2016Q3","5 to 14 Years","Number","9"
"Deaths Registered Provisional","2016Q3","15 to 24 Years","Number","38"
"Deaths Registered Provisional","2016Q3","25 to 34 Years","Number","78"
"Deaths Registered Provisional","2016Q3","35 to 44 Years","Number","181"
"Deaths Registered Provisional","2016Q3","45 to 54 Years","Number","334"
"Deaths Registered Provisional","2016Q3","55 to 64 Years","Number","715"
"Deaths Registered Provisional","2016Q3","65 to 74 Years","Number","1348"
"Deaths Registered Provisional","2016Q3","75 Years and Over","Number","4369"
"Deaths Registered Provisional","2016Q4","Under 1 Year","Number",""
"Deaths Registered Provisional","2016Q4","4 Weeks to 1 Year","Number","11"
"Deaths Registered Provisional","2016Q4","1 Week to 4 Weeks","Number","7"
"Deaths Registered Provisional","2016Q4","Under 7 Days","Number","30"
"Deaths Registered Provisional","2016Q4","1 to 7 Days","Number","11"
"Deaths Registered Provisional","2016Q4","Under 1 Day","Number","19"
"Deaths Registered Provisional","2016Q4","1 to 4 Years","Number","6"
"Deaths Registered Provisional","2016Q4","5 to 14 Years","Number","9"
"Deaths Registered Provisional","2016Q4","15 to 24 Years","Number","43"
"Deaths Registered Provisional","2016Q4","25 to 34 Years","Number","104"
"Deaths Registered Provisional","2016Q4","35 to 44 Years","Number","151"
"Deaths Registered Provisional","2016Q4","45 to 54 Years","Number","350"
"Deaths Registered Provisional","2016Q4","55 to 64 Years","Number","602"
"Deaths Registered Provisional","2016Q4","65 to 74 Years","Number","1266"
"Deaths Registered Provisional","2016Q4","75 Years and Over","Number","4376"
"Deaths Registered Provisional","2017Q1","Under 1 Year","Number","40"
"Deaths Registered Provisional","2017Q1","4 Weeks to 1 Year","Number","8"
"Deaths Registered Provisional","2017Q1","1 Week to 4 Weeks","Number","10"
"Deaths Registered Provisional","2017Q1","Under 7 Days","Number","22"
"Deaths Registered Provisional","2017Q1","1 to 7 Days","Number","6"
"Deaths Registered Provisional","2017Q1","Under 1 Day","Number","16"
"Deaths Registered Provisional","2017Q1","1 to 4 Years","Number","5"
"Deaths Registered Provisional","2017Q1","5 to 14 Years","Number","8"
"Deaths Registered Provisional","2017Q1","15 to 24 Years","Number","46"
"Deaths Registered Provisional","2017Q1","25 to 34 Years","Number","55"
"Deaths Registered Provisional","2017Q1","35 to 44 Years","Number","162"
"Deaths Registered Provisional","2017Q1","45 to 54 Years","Number","308"
"Deaths Registered Provisional","2017Q1","55 to 64 Years","Number","727"
"Deaths Registered Provisional","2017Q1","65 to 74 Years","Number","1502"
"Deaths Registered Provisional","2017Q1","75 Years and Over","Number","6214"
"Deaths Registered Provisional","2017Q2","Under 1 Year","Number","46"
"Deaths Registered Provisional","2017Q2","4 Weeks to 1 Year","Number","9"
"Deaths Registered Provisional","2017Q2","1 Week to 4 Weeks","Number","8"
"Deaths Registered Provisional","2017Q2","Under 7 Days","Number","29"
"Deaths Registered Provisional","2017Q2","1 to 7 Days","Number","11"
"Deaths Registered Provisional","2017Q2","Under 1 Day","Number","18"
"Deaths Registered Provisional","2017Q2","1 to 4 Years","Number","4"
"Deaths Registered Provisional","2017Q2","5 to 14 Years","Number","14"
"Deaths Registered Provisional","2017Q2","15 to 24 Years","Number","45"
"Deaths Registered Provisional","2017Q2","25 to 34 Years","Number","89"
"Deaths Registered Provisional","2017Q2","35 to 44 Years","Number","159"
"Deaths Registered Provisional","2017Q2","45 to 54 Years","Number","355"
"Deaths Registered Provisional","2017Q2","55 to 64 Years","Number","672"
"Deaths Registered Provisional","2017Q2","65 to 74 Years","Number","1317"
"Deaths Registered Provisional","2017Q2","75 Years and Over","Number","4614"
"Deaths Registered Provisional","2017Q3","Under 1 Year","Number","49"
"Deaths Registered Provisional","2017Q3","4 Weeks to 1 Year","Number","8"
"Deaths Registered Provisional","2017Q3","1 Week to 4 Weeks","Number","13"
"Deaths Registered Provisional","2017Q3","Under 7 Days","Number","28"
"Deaths Registered Provisional","2017Q3","1 to 7 Days","Number","14"
"Deaths Registered Provisional","2017Q3","Under 1 Day","Number","14"
"Deaths Registered Provisional","2017Q3","1 to 4 Years","Number","12"
"Deaths Registered Provisional","2017Q3","5 to 14 Years","Number","9"
"Deaths Registered Provisional","2017Q3","15 to 24 Years","Number","35"
"Deaths Registered Provisional","2017Q3","25 to 34 Years","Number","68"
"Deaths Registered Provisional","2017Q3","35 to 44 Years","Number","166"
"Deaths Registered Provisional","2017Q3","45 to 54 Years","Number","320"
"Deaths Registered Provisional","2017Q3","55 to 64 Years","Number","688"
"Deaths Registered Provisional","2017Q3","65 to 74 Years","Number","1335"
"Deaths Registered Provisional","2017Q3","75 Years and Over","Number","4305"
"Deaths Registered Provisional","2017Q4","Under 1 Year","Number","39"
"Deaths Registered Provisional","2017Q4","4 Weeks to 1 Year","Number","11"
"Deaths Registered Provisional","2017Q4","1 Week to 4 Weeks","Number","5"
"Deaths Registered Provisional","2017Q4","Under 7 Days","Number","23"
"Deaths Registered Provisional","2017Q4","1 to 7 Days","Number","11"
"Deaths Registered Provisional","2017Q4","Under 1 Day","Number","12"
"Deaths Registered Provisional","2017Q4","1 to 4 Years","Number","7"
"Deaths Registered Provisional","2017Q4","5 to 14 Years","Number","14"
"Deaths Registered Provisional","2017Q4","15 to 24 Years","Number","49"
"Deaths Registered Provisional","2017Q4","25 to 34 Years","Number","94"
"Deaths Registered Provisional","2017Q4","35 to 44 Years","Number","192"
"Deaths Registered Provisional","2017Q4","45 to 54 Years","Number","329"
"Deaths Registered Provisional","2017Q4","55 to 64 Years","Number","652"
"Deaths Registered Provisional","2017Q4","65 to 74 Years","Number","1210"
"Deaths Registered Provisional","2017Q4","75 Years and Over","Number","4529"
"Deaths Registered Provisional","2018Q1","Under 1 Year","Number","55"
"Deaths Registered Provisional","2018Q1","4 Weeks to 1 Year","Number","11"
"Deaths Registered Provisional","2018Q1","1 Week to 4 Weeks","Number","12"
"Deaths Registered Provisional","2018Q1","Under 7 Days","Number","32"
"Deaths Registered Provisional","2018Q1","1 to 7 Days","Number","14"
"Deaths Registered Provisional","2018Q1","Under 1 Day","Number","18"
"Deaths Registered Provisional","2018Q1","1 to 4 Years","Number","5"
"Deaths Registered Provisional","2018Q1","5 to 14 Years","Number","11"
"Deaths Registered Provisional","2018Q1","15 to 24 Years","Number","36"
"Deaths Registered Provisional","2018Q1","25 to 34 Years","Number","78"
"Deaths Registered Provisional","2018Q1","35 to 44 Years","Number","159"
"Deaths Registered Provisional","2018Q1","45 to 54 Years","Number","349"
"Deaths Registered Provisional","2018Q1","55 to 64 Years","Number","716"
"Deaths Registered Provisional","2018Q1","65 to 74 Years","Number","1527"
"Deaths Registered Provisional","2018Q1","75 Years and Over","Number","6342"
"Deaths Registered Provisional","2018Q2","Under 1 Year","Number","47"
"Deaths Registered Provisional","2018Q2","4 Weeks to 1 Year","Number","13"
"Deaths Registered Provisional","2018Q2","1 Week to 4 Weeks","Number","7"
"Deaths Registered Provisional","2018Q2","Under 7 Days","Number","27"
