"STATISTIC","Quarter","Age at Death","UNIT","VALUE"
"Deaths Registered Provisional","1965Q2","1 to 4 Years","Number","60"
"Deaths Registered Provisional","1965Q2","5 to 14 Years","Number","47"
"Deaths Registered Provisional","1965Q2","15 to 24 Years","Number","63"
"Deaths Registered Provisional","1965Q2","25 to 34 Years","Number","61"
"Deaths Registered Provisional","1965Q2","35 to 44 Years","Number","198"
"Deaths Registered Provisional","1965Q2","45 to 54 Years","Number","529"
"Deaths Registered Provisional","1965Q2","55 to 64 Years","Number","1033"
"Deaths Registered Provisional","1965Q2","65 to 74 Years","Number","2006"
"Deaths Registered Provisional","1965Q2","75 Years and Over","Number","3716"
"Deaths Registered Provisional","1965Q3","Under 1 Year","Number","395"
"Deaths Registered Provisional","1965Q3","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1965Q3","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1965Q3","Under 7 Days","Number",""
"Deaths Registered Provisional","1965Q3","1 to 7 Days","Number",""
"Deaths Registered Provisional","1965Q3","Under 1 Day","Number",""
"Deaths Registered Provisional","1965Q3","1 to 4 Years","Number","50"
"Deaths Registered Provisional","1965Q3","5 to 14 Years","Number","51"
"Deaths Registered Provisional","1965Q3","15 to 24 Years","Number","72"
"Deaths Registered Provisional","1965Q3","25 to 34 Years","Number","82"
"Deaths Registered Provisional","1965Q3","35 to 44 Years","Number","201"
"Deaths Registered Provisional","1965Q3","45 to 54 Years","Number","471"
"Deaths Registered Provisional","1965Q3","55 to 64 Years","Number","991"
"Deaths Registered Provisional","1965Q3","65 to 74 Years","Number","1875"
"Deaths Registered Provisional","1965Q3","75 Years and Over","Number","3138"
"Deaths Registered Provisional","1965Q4","Under 1 Year","Number","382"
"Deaths Registered Provisional","1965Q4","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1965Q4","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1965Q4","Under 7 Days","Number",""
"Deaths Registered Provisional","1965Q4","1 to 7 Days","Number",""
"Deaths Registered Provisional","1965Q4","Under 1 Day","Number",""
"Deaths Registered Provisional","1965Q4","1 to 4 Years","Number","46"
"Deaths Registered Provisional","1965Q4","5 to 14 Years","Number","51"
"Deaths Registered Provisional","1965Q4","15 to 24 Years","Number","73"
"Deaths Registered Provisional","1965Q4","25 to 34 Years","Number","78"
"Deaths Registered Provisional","1965Q4","35 to 44 Years","Number","185"
"Deaths Registered Provisional","1965Q4","45 to 54 Years","Number","457"
"Deaths Registered Provisional","1965Q4","55 to 64 Years","Number","1123"
"Deaths Registered Provisional","1965Q4","65 to 74 Years","Number","1967"
"Deaths Registered Provisional","1965Q4","75 Years and Over","Number","3651"
"Deaths Registered Provisional","1966Q1","Under 1 Year","Number","408"
"Deaths Registered Provisional","1966Q1","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1966Q1","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1966Q1","Under 7 Days","Number",""
"Deaths Registered Provisional","1966Q1","1 to 7 Days","Number",""
"Deaths Registered Provisional","1966Q1","Under 1 Day","Number",""
"Deaths Registered Provisional","1966Q1","1 to 4 Years","Number","80"
"Deaths Registered Provisional","1966Q1","5 to 14 Years","Number","53"
"Deaths Registered Provisional","1966Q1","15 to 24 Years","Number","80"
"Deaths Registered Provisional","1966Q1","25 to 34 Years","Number","86"
"Deaths Registered Provisional","1966Q1","35 to 44 Years","Number","184"
"Deaths Registered Provisional","1966Q1","45 to 54 Years","Number","623"
"Deaths Registered Provisional","1966Q1","55 to 64 Years","Number","1276"
"Deaths Registered Provisional","1966Q1","65 to 74 Years","Number","2621"
"Deaths Registered Provisional","1966Q1","75 Years and Over","Number","5044"
"Deaths Registered Provisional","1966Q2","Under 1 Year","Number","414"
"Deaths Registered Provisional","1966Q2","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1966Q2","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1966Q2","Under 7 Days","Number",""
"Deaths Registered Provisional","1966Q2","1 to 7 Days","Number",""
"Deaths Registered Provisional","1966Q2","Under 1 Day","Number",""
"Deaths Registered Provisional","1966Q2","1 to 4 Years","Number","47"
"Deaths Registered Provisional","1966Q2","5 to 14 Years","Number","49"
"Deaths Registered Provisional","1966Q2","15 to 24 Years","Number","72"
"Deaths Registered Provisional","1966Q2","25 to 34 Years","Number","62"
"Deaths Registered Provisional","1966Q2","35 to 44 Years","Number","200"
"Deaths Registered Provisional","1966Q2","45 to 54 Years","Number","499"
"Deaths Registered Provisional","1966Q2","55 to 64 Years","Number","1109"
"Deaths Registered Provisional","1966Q2","65 to 74 Years","Number","2235"
"Deaths Registered Provisional","1966Q2","75 Years and Over","Number","4427"
"Deaths Registered Provisional","1966Q3","Under 1 Year","Number","366"
"Deaths Registered Provisional","1966Q3","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1966Q3","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1966Q3","Under 7 Days","Number",""
"Deaths Registered Provisional","1966Q3","1 to 7 Days","Number",""
"Deaths Registered Provisional","1966Q3","Under 1 Day","Number",""
"Deaths Registered Provisional","1966Q3","1 to 4 Years","Number","47"
"Deaths Registered Provisional","1966Q3","5 to 14 Years","Number","57"
"Deaths Registered Provisional","1966Q3","15 to 24 Years","Number","76"
"Deaths Registered Provisional","1966Q3","25 to 34 Years","Number","72"
"Deaths Registered Provisional","1966Q3","35 to 44 Years","Number","168"
"Deaths Registered Provisional","1966Q3","45 to 54 Years","Number","486"
"Deaths Registered Provisional","1966Q3","55 to 64 Years","Number","944"
"Deaths Registered Provisional","1966Q3","65 to 74 Years","Number","1880"
"Deaths Registered Provisional","1966Q3","75 Years and Over","Number","3027"
"Deaths Registered Provisional","1966Q4","Under 1 Year","Number","358"
